T1_Tweets,T1_Positive_Tweets,T1_Winner_Prediction,T2_Tweets,T2_Positive_Tweets,T2_Winner_Prediction,Winner
557,450,5,235,215,1,T2
7952,6988,238,4147,3751,109,T1
678,464,2,143,123,0,T1
144,117,0,98,80,0,T1
297,279,0,136,110,1,T1
4242,3797,198,302,227,3,T2
721,537,7,169,140,0,T1
5033,4532,24,410,361,3,T1
1093,812,26,385,289,3,T1
1936,1415,37,293,239,2,T1
1244,993,9,149,126,3,T1
5725,5107,161,2132,1939,26,T1
9684,9341,269,2478,1327,27,T2
3813,3002,41,4556,3419,52,T2
