T1_Tweets,T1_Positive_Tweets,T1_Winner_Prediction,T2_Tweets,T2_Positive_Tweets,T2_Winner_Prediction,Winner
902,891,3,134,121,1,T1
1004,967,9,114,98,0,T1
62,55,0,237,213,0,T1
232,201,2,64,59,0,T2
293,223,3,58,53,0,T2
261,198,1,59,38,0,T1
246,237,8,144,135,0,T1
253,247,7,176,142,1,T1
146,129,4,243,221,1,T2
221,197,3,220,201,2,T1
168,155,0,63,55,0,T1
67,56,1,78,63,2,T2
66,60,0,244,206,0,T2
396,334,2,392,341,0,T1
320,290,3,313,282,0,T2
532,499,6,361,334,0,T2
395,368,3,222,183,5,T1
20,10,0,12,12,1,T2
720,657,8,287,190,0,T1
590,470,7,298,201,2,T2
403,361,3,140,101,0,T1
22,19,0,41,34,0,T1
507,487,8,187,142,0,T1
148,136,0,36,33,0,T1
526,498,9,127,98,0,T1
598,487,8,123,100,2,T1
679,523,6,98,87,0,T2
456,331,2,167,142,4,T1
678,529,9,338,299,2,T1
720,678,12,123,97,1,T1
534,456,4,167,123,0,T1
47,29,0,123,99,0,T2
18,17,0,137,123,0,T2
124,113,0,148,125,0,T2
138,126,1,147,120,1,T1
131,127,0,127,119,0,T1
380,288,1,110,98,0,T1
117,103,0,66,56,1,T1
41,37,0,26,21,0,T1
60,58,0,157,137,0,T2
80,53,0,100,63,0,T1
312,189,0,145,126,0,T1
91,89,1,127,87,0,T1
96,67,1,97,56,0,T1
673,638,15,161,132,2,T1
298,267,1,168,144,0,T1
532,499,7,154,144,2,T2
512,487,9,176,156,3,T1
166,129,3,40,36,3,T2
432,403,7,154,127,0,T1
64,52,0,76,61,0,T2
678,609,12,122,88,2,T1
543,527,8,132,100,4,T1
120,101,2,167,159,6,T2
777,752,17,334,308,7,T1
514,451,7,90,87,0,T1
476,397,6,98,89,1,T1
555,499,7,102,78,0,T1
80,67,0,186,163,0,T2
158,141,1,188,151,0,T2
702,675,4,157,129,0,T1
98,80,0,86,63,0,T1
698,562,3,143,112,0,T2
73,62,1,122,104,0,T1
433,413,1,98,77,0,T1
71,55,2,86,75,0,T1
100,94,1,126,107,0,T2
103,91,1,134,111,1,T2
40,38,0,157,145,0,T2
493,390,6,219,180,0,T1
501,435,7,198,162,1,T1
283,242,2,183,154,0,T1
476,388,4,213,177,2,T1
438,356,6,382,294,1,T1
459,398,4,301,232,0,T1
654,632,4,104,87,0,T1
435,378,3,324,276,0,T1
702,647,3,99,73,1,T1
694,651,4,87,54,0,T1
164,144,0,268,216,1,T1
778,698,5,156,126,1,T2
552,501,2,124,93,0,T1
55,47,1,49,36,0,T1
32,24,0,35,27,0,T2
12,10,0,33,27,1,T1
68,49,0,102,94,1,T2
259,210,2,144,126,1,T2
245,201,1,152,141,2,T2
442,330,3,103,86,1,T2
256,340,4,152,122,0,T1
92,61,1,33,27,0,T1
233,188,2,102,79,1,T2
444,395,6,137,102,2,T2
467,373,2,145,136,2,T2
65,57,1,22,17,0,T1
64,59,1,21,9,0,T1
50,45,0,14,8,0,T1
63,56,0,40,32,0,T1
56,49,1,45,27,0,T1
78,73,0,102,85,0,T2
602,556,3,98,73,1,T1
589,533,2,85,66,0,T1
664,629,4,93,54,1,T1
20,18,0,51,49,0,T1
53,44,0,62,51,0,T1
13,5,0,13,8,0,T2
642,609,6,167,154,1,T1
679,621,5,143,129,2,T2
193,157,0,69,59,0,T2
145,101,1,79,65,0,T2
162,121,0,81,73,1,T2
215,135,0,53,36,0,T1
221,126,0,43,21,0,T1
259,228,1,157,137,0,T1
233,145,1,47,33,0,T1
201,191,3,219,198,1,T2
439,412,4,102,78,2,T2
212,178,0,221,201,2,T2
226,196,0,348,269,0,T2
449,422,5,98,69,1,T1
209,192,1,208,189,1,T1
217,194,1,347,293,1,T2
456,425,4,102,64,1,T1
642,599,3,103,74,0,T1
705,678,6,98,62,1,T2
693,666,5,86,51,0,T1
702,663,9,167,139,2,T1
793,772,10,151,99,1,T1
627,581,12,152,101,2,T1
687,588,4,185,166,1,T1
702,627,6,178,123,1,T1
778,743,14,241,182,3,T1
751,698,12,198,137,1,T1
138,114,0,329,250,1,T1
144,108,1,234,184,1,T2
163,102,0,249,211,1,T2
170,143,1,176,142,0,T2
172,152,2,168,137,0,T1
159,131,1,162,134,0,T2
171,136,0,40,38,0,T2
168,123,0,97,86,1,T2
54,45,0,125,85,0,T2
63,49,0,101,82,0,T1
161,123,1,128,103,2,T2
142,111,2,149,128,2,T2
137,115,2,140,112,1,T1
61,48,0,53,27,0,T1
44,31,0,45,32,1,T2
63,41,1,41,22,0,T1
27,22,0,52,41,1,T2
20,15,0,39,36,0,T2
613,572,4,213,181,2,T1
597,571,5,221,176,1,T1
605,567,4,198,171,0,T2
58,36,0,26,24,0,T2
67,43,0,72,56,1,T2
75,52,1,74,50,1,T1
464,412,4,71,62,0,T1
439,410,3,89,67,1,T2
411,399,3,91,72,0,T1
218,150,1,189,158,0,T2
187,154,0,203,178,1,T2
192,161,1,189,167,1,T1
24,17,0,23,15,0,T1
209,176,1,171,156,0,T1
21,14,0,31,22,0,T2
211,191,1,168,143,0,T2
15,10,0,26,19,0,T1
697,677,5,229,181,0,T2
674,643,4,231,197,1,T1
651,629,2,252,241,1,T2
657,583,2,273,247,2,T1
669,623,3,256,227,1,T1
152,123,0,48,36,0,T1
164,147,1,51,32,0,T1
153,133,0,44,31,0,T1
158,136,0,22,18,0,T1
163,141,1,53,22,0,T2
149,129,1,47,24,0,T1
153,136,0,61,38,0,T1
528,398,1,172,143,0,T1
541,403,2,156,114,0,T1
535,471,2,159,123,1,T1
42,40,0,119,101,1,T2
77,63,1,98,61,1,T1
81,79,0,79,62,0,T1
78,69,0,80,71,0,T2
98,71,1,83,67,0,T1
146,109,2,217,186,1,T2
157,111,1,221,195,2,T2
181,127,0,202,182,1,T2
175,107,1,210,173,1,T1
186,108,0,290,212,1,T1
164,123,1,245,221,1,T2
171,146,0,279,221,2,T2
189,152,1,252,219,1,T2
727,684,6,201,167,1,T1
812,771,9,198,171,2,T2
798,765,8,221,212,3,T2
240,175,1,272,148,0,T1
54,32,0,67,51,1,T2
61,45,1,81,68,1,T2
43,21,0,73,52,0,T2
47,32,0,69,47,1,T1
32,14,0,52,44,2,T2
140,75,1,190,134,2,T2
115,81,0,191,143,1,T2
123,101,1,176,133,1,T1
121,98,1,184,149,2,T2
118,74,0,173,122,1,T1
83,48,0,151,97,0,T1
97,63,1,123,98,1,T1
134,112,1,119,86,0,T1
119,111,0,324,283,3,T2
460,409,1,238,211,2,T1
370,324,1,343,294,4,T1
2564,2322,24,1761,1433,8,T2
127,105,0,214,177,0,T1
1254,995,5,441,339,2,T1
372,351,3,291,266,1,T1
406,331,2,374,336,1,T1
220,173,0,103,75,1,T1
109,98,0,93,72,3,T1
509,426,8,406,355,6,T1
785,726,12,231,193,2,T2
478,421,4,456,405,2,T1
106,87,1,107,81,1,T1
343,277,4,108,85,2,T1
201,285,0,187,152,0,T2
318,247,8,332,253,3,T1
357,235,3,118,108,1,T2
443,417,4,356,322,3,T2
899,506,13,565,523,7,T2
678,623,12,331,316,5,T1
569,537,5,211,181,2,T1
189,165,3,78,42,0,T1
661,574,4,123,87,0,T1
245,211,3,103,71,0,T1
435,403,4,186,161,2,T1
201,178,4,108,91,1,T1
222,204,2,102,77,2,T1
215,198,3,99,65,0,T1
258,234,4,89,61,0,T1
297,229,1,177,154,0,T2
283,241,3,188,161,1,T1
287,253,2,142,127,1,T2
263,237,1,189,164,1,T1
256,239,1,194,172,0,T2
340,272,8,133,115,2,T1
294,266,2,153,128,1,T1
617,571,2,149,102,1,T1
287,267,3,174,135,2,T1
596,565,4,162,131,1,T1
291,257,2,149,122,1,T2
612,581,5,171,128,2,T1
714,672,4,223,175,1,T1
678,613,5,210,156,0,T1
691,125,4,202,153,1,T1
551,465,2,355,283,1,T2
261,236,1,216,176,0,T1
245,219,2,237,205,1,T1
677,603,7,226,154,1,T2
257,222,1,194,173,1,T2
671,626,5,235,219,2,T2
623,563,4,241,226,3,T1
633,594,5,231,189,2,T1
247,182,3,128,94,0,T1
664,631,4,193,171,1,T1
252,239,2,241,229,3,T1
591,563,4,287,226,2,T1
601,572,3,277,225,1,T2
53,50,0,143,110,6,T2
51,32,0,129,116,2,T1
783,692,4,137,105,1,T1
64,45,1,112,81,1,T1
741,681,3,134,102,2,T2
792,747,5,123,99,1,T1
768,711,4,113,72,1,T1
777,729,5,129,101,2,T1
368,257,0,149,119,0,T1
313,287,2,151,114,1,T1
348,303,3,172,126,2,T2
2789,2112,19,2456,1789,9,T1
429,380,2,204,148,0,T1
2801,2313,15,2321,1698,6,T2
891,803,5,297,229,7,T2
631,543,5,820,724,2,T2
854,542,9,1046,978,13,T2
1907,1348,17,422,331,6,T2
1333,874,14,434,389,8,T2
978,812,8,376,201,5,T1
1769,991,13,540,454,5,T1
890,703,6,401,379,4,T2
1401,962,9,434,351,3,T1
903,879,8,698,579,6,T1
1768,1398,11,453,387,2,T1
576,502,5,390,361,3,T1
626,568,3,427,344,1,T2
843,799,6,258,167,2,T1
501,423,4,231,179,2,T2
901,834,6,232,178,2,T2
337,285,1,265,191,0,T1
502,477,4,131,74,3,T1
320,289,2,241,179,1,T1
691,644,7,233,167,4,T1
440,335,0,196,155,3,T1
48,30,1,47,29,0,T1
444,371,2,291,256,2,T2
349,289,2,201,167,2,T1
52,41,0,33,22,0,T1
379,321,2,127,89,1,T1
381,333,3,201,167,2,T1
